column,dtype,nulls,unique_values,sample_value
province,object,0,9,Eastern
district,object,0,25,Ampara
area_ha,int64,0,25,448368
ExtentIn_2010,int64,0,25,172595
gain_per_year_constant_by_year(10-12),int64,0,25,2332
Carbon_Stocks_2000,int64,0,25,13493607
avg_Carbon_Stocks_2000,int64,0,25,297
Gross Emissions_yr-1,int64,0,25,140138
Gross_C_Removals_yr-1,int64,0,25,764283
Net_C_Flux_yr-1,int64,0,25,-624143
year,Int64,0,11,2014
tc_loss_ha,int64,0,238,330
carbon_gross_emissions_yearly,int64,0,275,117918
bronchitis_live_discharges,int64,0,251,1969
total_population_1k,int64,0,245,666
male_population_1k,int64,0,222,322
female_population_1k,int64,0,215,344
bronchitis_deaths,int64,0,110,23
bronchitis_cfr,float64,0,212,1.17
asthma_live_discharges,int64,0,269,8919
asthma_deaths,int64,0,66,15
asthma_cfr,float64,0,92,0.17
vim_climatology,float64,0,351,0.7485
climatology_pixel_count,float64,0,319,20165.5
month,category,0,12,January
no_fire_types,int64,0,4,0
type,object,0,7,No fire
frp_mean,float64,0,2037,0.0
frp_median,float64,0,1013,0.0
frp_total,float64,0,2060,0.0
brightness,float64,0,2234,0.0
bright_t31,float64,0,2201,0.0
vim,float64,0,1413,0.76025
viq,int64,0,3199,31416
vim_anomaly,float64,0,792,0.01175
vim_min,float64,0,233,0.701
vim_max,float64,0,177,0.781
pm2.5_ug_m3,float64,0,3300,15.86815724
so2_ug_m3,float64,0,3300,0.244941405
no2_ug_m3,float64,0,3300,3.835857705
month_num,int8,0,12,1
