metric,count,mean,std,min,25%,50%,75%,max
area_ha,3300.0,263348.84,151555.5216810033,68301.0,164738.0,206947.0,314948.0,720607.0
ExtentIn_2010,3300.0,141289.08,76825.88327692724,4019.0,102309.0,129581.0,164886.0,318700.0
gain_per_year_constant_by_year(10-12),3300.0,2403.04,2683.6103575769584,354.0,537.0,1514.0,2792.0,12323.0
Carbon_Stocks_2000,3300.0,11888936.16,7041800.594823336,126286.0,7661412.0,12032589.0,16861133.0,28498242.0
avg_Carbon_Stocks_2000,3300.0,188.44,65.50134753767504,82.0,123.0,177.0,240.0,310.0
Gross Emissions_yr-1,3300.0,155118.68,96284.65117414409,4781.0,96529.0,140112.0,180786.0,396050.0
Gross_C_Removals_yr-1,3300.0,592822.44,323758.9293520704,63250.0,299844.0,556915.0,815744.0,1323239.0
Net_C_Flux_yr-1,3300.0,-437703.64,252737.97379996494,-990950.0,-543274.0,-438671.0,-207776.0,-58469.0
year,3300.0,2019.0,3.162756902068557,2014.0,2016.0,2019.0,2022.0,2024.0
tc_loss_ha,3300.0,473.3454545454546,419.2230295729783,3.0,193.0,337.0,639.0,2433.0
carbon_gross_emissions_yearly,3300.0,193358.0181818182,157333.70064313407,1333.0,85927.0,141246.0,264175.0,945201.0
bronchitis_live_discharges,3300.0,1374.6036363636363,1246.478489060652,1.0,428.0,1071.0,2092.0,6486.0
total_population_1k,3300.0,865.7890909090909,607.8564201068144,95.0,483.0,768.0,1130.0,2480.0
male_population_1k,3300.0,419.1818181818182,294.9432376939323,47.0,239.0,367.0,546.0,1217.0
female_population_1k,3300.0,446.60727272727274,313.0259764065285,48.0,243.0,401.0,585.0,1263.0
bronchitis_deaths,3300.0,44.86545454545455,42.00151652820822,0.0,13.0,33.0,68.0,210.0
bronchitis_cfr,3300.0,234.00989090909087,1097.662192507223,0.0,1.88,2.87,4.08,8400.0
asthma_live_discharges,3300.0,5901.8436363636365,4427.335602609964,3.0,2318.0,4761.0,8910.0,21079.0
asthma_deaths,3300.0,20.003636363636364,21.07078930599086,0.0,4.0,14.0,28.0,112.0
asthma_cfr,3300.0,12.962618181818181,80.8793082604692,0.0,0.12,0.26,0.46,960.0
vim_climatology,3300.0,0.6842088888921213,0.083342596364344,0.415,0.64575,0.701,0.7445625,0.825
climatology_pixel_count,3300.0,11737.327575757576,6976.234544417935,2671.0,6616.5,9262.0,14323.875,32864.0
no_fire_types,3300.0,0.7609090909090909,0.5490097654509941,0.0,0.0,1.0,1.0,3.0
frp_mean,3300.0,3.2880702340442425,3.0644432861223465,0.0,0.0,3.3473333335,5.19660079075,30.445
frp_median,3300.0,2.8069121212121217,2.5425556904573474,0.0,0.0,2.9975,4.422499999999999,30.445
frp_total,3300.0,120.27140909090907,373.2270934601063,0.0,0.0,11.21,73.2175,5612.75
brightness,3300.0,233.26531209342423,151.93694608340488,0.0,0.0,330.8387019,336.399488,367.0
bright_t31,3300.0,207.57027719172726,135.0899966253424,0.0,0.0,293.1381,297.489375,311.61
vim,3300.0,0.6777352525257575,0.08758521191264904,0.3575,0.636,0.695125,0.74275,0.837
viq,3300.0,25935.26393939394,18800.226633164657,24.0,12171.5,21614.0,34195.5,127888.0
vim_anomaly,3300.0,-0.006478813133636364,0.033242876396832016,-0.333,-0.021,-0.00375,0.011333333,0.124333333
vim_min,3300.0,0.5200015151515152,0.15116633448873362,0.003,0.445,0.554,0.618,0.776
vim_max,3300.0,0.7569157575757576,0.06885236121531739,0.498,0.73,0.771,0.801,0.906
pm2.5_ug_m3,3300.0,16.509129603420604,4.570931108651095,5.726200991,13.352617627499999,16.106903235,19.354720987500002,37.94025664
so2_ug_m3,3300.0,1.765950154431818,1.1260928181737597,0.102868161,0.897715525,1.6899881565000001,2.33892018925,6.321347667
no2_ug_m3,3300.0,7.640099244249394,5.448881403076468,0.455006916,3.34719505875,6.1635967009999995,10.75280823,25.76623247
month_num,3300.0,6.5,3.452575686699072,1.0,3.75,6.5,9.25,12.0
