year,pm2.5_ug_m3,frp_total,tc_loss_ha,vim,asthma_live_discharges,bronchitis_live_discharges
2014,16.635889862346666,206.35613333333333,493.8,0.6676802777766666,7588.84,1492.52
2015,13.597586639093333,82.1303,295.88,0.6916836111233333,7613.48,1617.24
2016,17.316807124633332,205.68773333333334,699.6,0.6720699999866666,6319.28,675.6
2017,17.578339342866666,97.61386666666667,522.56,0.6776511111133333,6865.28,1634.64
2018,18.36832982359,131.38016666666667,526.28,0.6740130555566666,5166.88,1369.92
2019,15.9146213438,122.73976666666667,412.36,0.6685155555533333,6720.0,1828.6
2020,15.218059841613334,130.68873333333335,448.56,0.6796480555533334,4070.0,955.68
2021,16.139208745346664,72.98776666666666,531.76,0.6844361111099999,2272.96,670.56
2022,18.454986774833333,77.1511,336.52,0.67885611112,5389.92,1355.0
2023,15.251669295170002,119.8563,468.68,0.6772722222266666,6480.52,1807.24
2024,17.124926844333334,76.39363333333334,470.8,0.6832616666633333,6433.12,1713.64
