province,pm2.5_ug_m3,no2_ug_m3,so2_ug_m3,tc_loss_ha,frp_total,vim,asthma_live_discharges,bronchitis_live_discharges,asthma_cfr,bronchitis_cfr,total_population_1k,male_population_1k,female_population_1k
Central,13.433231011421718,11.73337481960101,1.9538735833131315,318.8181818181818,49.32217171717172,0.7380397727323232,4959.939393939394,2883.151515151515,9.524848484848485,374.0993939393939,914.6969696969697,437.4848484848485,477.2121212121212
Eastern,16.307476734010102,4.616023494573232,0.914903615590909,294.8484848484849,172.27419191919194,0.6284187710454545,4959.969696969697,1187.939393939394,1.6515151515151516,1.7115151515151514,570.030303030303,275.8181818181818,294.2121212121212
North Central,16.866521572965908,5.527297162590909,1.1266063656325758,846.8181818181819,383.39181818181817,0.6880969065719696,4735.727272727273,1256.909090909091,0.27636363636363637,171.77090909090907,683.1818181818181,334.95454545454544,348.22727272727275
North Western,17.933370452602272,7.041665450056818,1.5147888540719698,970.0909090909091,156.0876893939394,0.6832294823106061,8438.5,782.7727272727273,44.123636363636365,622.6409090909092,1264.3181818181818,608.7727272727273,655.5454545454545
Northern,20.02394598370606,1.7872937707287877,1.0352815453545454,432.6363636363636,71.83183333333334,0.6006002525257575,2182.581818181818,362.1454545454545,2.149636363636364,3.3181818181818183,227.70909090909092,109.61818181818182,118.0909090909091
Sabaragamuwa,14.239227021435605,13.551053557060607,2.64218723675,688.2727272727273,25.048257575757575,0.7690031565681819,7498.772727272727,1450.8181818181818,0.5304545454545454,180.18499999999997,1022.5909090909091,496.8636363636364,525.7272727272727
Southern,15.929974199694446,5.652432653022728,1.919500677722222,245.3030303030303,86.0271212121212,0.7145180976565656,7167.333333333333,1051.4848484848485,40.02393939393939,481.5609090909091,879.1515151515151,423.93939393939394,455.2121212121212
Uva,13.092843139530302,10.210374532276516,1.3616223001818182,472.22727272727275,288.7729545454545,0.726377840905303,5502.818181818182,1811.6363636363637,26.492272727272727,3.870909090909091,684.7727272727273,333.22727272727275,351.54545454545456
Western,17.11084665284596,14.46657931567677,3.7723676636237378,379.57575757575756,6.051388888888889,0.6546784511666667,11006.60606060606,2194.121212121212,5.623636363636364,434.86848484848485,2034.939393939394,990.6969696969697,1044.2424242424242
