district,target,feature,correlation
Galle,asthma_live_discharges,carbon_gross_emissions_yearly,-0.28284680227634706
Galle,asthma_live_discharges,tc_loss_ha,-0.28127534776687146
Galle,asthma_live_discharges,pm2.5_ug_m3,-0.13332440335862092
Galle,asthma_live_discharges,so2_ug_m3,-0.1165065515184011
Galle,asthma_live_discharges,frp_total,-0.061195040336339074
Galle,asthma_live_discharges,vim_anomaly,-0.040945430163447157
Galle,asthma_live_discharges,vim,-0.03428658260971922
Galle,asthma_live_discharges,no2_ug_m3,0.10962699453972694
Galle,bronchitis_live_discharges,carbon_gross_emissions_yearly,-0.3248617207656216
Galle,bronchitis_live_discharges,tc_loss_ha,-0.30648213618808323
Galle,bronchitis_live_discharges,pm2.5_ug_m3,-0.10613953976663365
Galle,bronchitis_live_discharges,no2_ug_m3,-0.10229217483370698
Galle,bronchitis_live_discharges,so2_ug_m3,-0.10060336425806432
Galle,bronchitis_live_discharges,vim_anomaly,-0.0813363832700832
Galle,bronchitis_live_discharges,frp_total,-0.06986716549998442
Galle,bronchitis_live_discharges,vim,-0.06800403828539767
Galle,asthma_deaths,pm2.5_ug_m3,-0.23566592025174204
Galle,asthma_deaths,so2_ug_m3,-0.1439773011083706
Galle,asthma_deaths,frp_total,-0.0800491967989025
Galle,asthma_deaths,tc_loss_ha,-0.01994792966352802
Galle,asthma_deaths,carbon_gross_emissions_yearly,0.0009500906686370794
Galle,asthma_deaths,no2_ug_m3,0.0500990392668404
Galle,asthma_deaths,vim,0.062290996266947764
Galle,asthma_deaths,vim_anomaly,0.07628643245956022
Galle,bronchitis_deaths,no2_ug_m3,-0.0710203631780852
Galle,bronchitis_deaths,vim_anomaly,-0.032414172829921255
Galle,bronchitis_deaths,tc_loss_ha,-0.03126832184531381
Galle,bronchitis_deaths,vim,-0.026782534523498294
Galle,bronchitis_deaths,carbon_gross_emissions_yearly,-0.012675847978911988
Galle,bronchitis_deaths,pm2.5_ug_m3,-0.0020470132356130667
Galle,bronchitis_deaths,so2_ug_m3,0.0038779508915377137
Galle,bronchitis_deaths,frp_total,0.007374355171366951
Galle,asthma_cfr,no2_ug_m3,-0.0336888889926061
Galle,asthma_cfr,vim_anomaly,0.005084172589646566
Galle,asthma_cfr,vim,0.005461149587787289
Galle,asthma_cfr,frp_total,0.08304932652509402
Galle,asthma_cfr,pm2.5_ug_m3,0.16170504934124683
Galle,asthma_cfr,so2_ug_m3,0.16669179121615463
Galle,asthma_cfr,tc_loss_ha,0.18327894258133418
Galle,asthma_cfr,carbon_gross_emissions_yearly,0.19782718960403195
Galle,bronchitis_cfr,no2_ug_m3,0.00927552099058326
Galle,bronchitis_cfr,vim,0.03635313915659897
Galle,bronchitis_cfr,vim_anomaly,0.04240001492893975
Galle,bronchitis_cfr,frp_total,0.09849136866312974
Galle,bronchitis_cfr,pm2.5_ug_m3,0.14141361060332577
Galle,bronchitis_cfr,so2_ug_m3,0.14932596493778688
Galle,bronchitis_cfr,tc_loss_ha,0.1987087838307242
Galle,bronchitis_cfr,carbon_gross_emissions_yearly,0.20526640959547499
