year,pm2.5_ug_m3,frp_total,vim,tc_loss_ha,asthma_live_discharges,bronchitis_live_discharges,no2_ug_m3,so2_ug_m3
2014,21.097324902500002,85.72083333333335,0.5145555555833333,176.0,816.0,104.0,1.37734490475,1.0536543910833334
2015,16.876556255083333,35.61416666666667,0.5588888889166667,40.0,1212.0,335.0,1.4454468985833333,0.9117832578333332
2016,21.1384305325,62.47666666666667,0.5234305555,79.0,1285.0,508.0,1.6593694363333331,1.0855588365833333
2017,21.2464093775,66.695,0.5299097221666667,107.0,1207.0,582.0,1.6412186621666667,1.1077660025
2018,22.6598868425,105.51333333333334,0.5039513889166667,199.0,1360.0,362.0,1.54102663475,1.0221406721666666
2019,20.096694688083335,134.51666666666668,0.52,159.0,1519.0,390.0,1.5388738033333331,0.8612451011666667
2020,18.520509544166668,78.12166666666667,0.5240138889166667,85.0,925.0,247.0,1.4456690359166666,0.9825525338333333
2021,19.930650811666666,36.73833333333334,0.5341388889166666,132.0,849.0,206.0,1.4526193605,1.0783955454166667
2022,23.10182268583333,27.054999999999996,0.5528472221666666,68.0,1338.0,476.0,1.5571731240833333,1.1948496671666666
2023,20.542545674166664,77.38416666666667,0.5301041666666667,144.0,1341.0,504.0,1.5341884719166667,0.9626748936666667
2024,21.1352628875,45.669999999999995,0.5406319444166666,56.0,1114.0,352.0,1.5291345594166668,1.0610658742499999
